# x y z  nx ny nz   (pre-displacement Vertex::N = bake ride input)
-3.13112 3.02874 0.17443  0.401628 -0.903462 0.149835
-3.32530 2.93765 0.10197  0.379411 -0.924888 0.025077
-3.10217 3.02874 0.10453  0.375047 -0.921543 0.100493
-3.09230 3.02874 0.02952  0.364092 -0.931363 -0.000000
-3.10217 3.02874 -0.04549  0.369779 -0.927786 -0.049769
-3.32551 2.93765 -0.04314  0.388220 -0.920748 -0.038847
-3.13112 3.02874 -0.11539  0.403577 -0.903016 -0.147270
-3.17718 3.02874 -0.17542  0.376028 -0.846879 -0.376029
-3.23721 3.02874 -0.22148  0.187085 -0.832430 -0.521594
-3.41110 2.93765 -0.12082  0.068869 -0.833286 -0.548536
-3.38212 3.02874 -0.26030  0.018567 0.826917 -0.562017
-3.30711 3.02874 -0.25043  0.163395 0.826917 -0.538061
-3.33186 3.09375 -0.15805  0.114880 0.826647 -0.550870
-3.38212 3.09375 -0.16466  -0.031610 0.826647 -0.561833
-3.23721 3.02874 -0.22148  0.281057 0.827060 -0.486805
-3.28503 3.09375 -0.13865  0.281057 0.827060 -0.486805
-3.17718 3.02874 -0.17542  0.397474 0.827060 -0.397475
-3.24481 3.09375 -0.10779  0.397474 0.827060 -0.397475
-3.13112 3.02874 -0.11539  0.486804 0.827060 -0.281057
-3.21395 3.09375 -0.06757  0.486804 0.827060 -0.281057
-3.10217 3.02874 -0.04549  0.542960 0.827060 -0.145485
-3.19455 3.09375 -0.02074  0.542960 0.827060 -0.145485
-3.09230 3.02874 0.02952  0.562114 0.827060 -0.000000
-3.18794 3.09375 0.02952  0.562114 0.827060 -0.000000
-3.10217 3.02874 0.10453  0.542960 0.827060 0.145485
-3.19455 3.09375 0.07978  0.542960 0.827060 0.145485
-3.13112 3.02874 0.17443  0.486804 0.827060 0.281057
-3.21395 3.09375 0.12661  0.486804 0.827060 0.281057
-3.17718 3.02874 0.23445  0.397474 0.827060 0.397475
-3.24481 3.09375 0.16683  0.397474 0.827060 0.397475
-3.23721 3.02874 0.28051  0.281057 0.827060 0.486805
-3.28503 3.09375 0.19768  0.281057 0.827060 0.486805
-3.30711 3.02874 0.30947  0.163395 0.826917 0.538061
-3.33186 3.09375 0.21708  0.114880 0.826647 0.550870
-3.38212 3.02874 0.31934  0.018567 0.826917 0.562017
-3.38212 3.09375 0.22370  -0.031610 0.826647 0.561833
-3.45713 3.02874 0.30947  -0.127526 0.826917 0.547672
-3.43238 3.09375 0.21708  -0.175946 0.826647 0.534508
-3.52703 3.02874 0.28051  -0.281056 0.827060 0.486805
-3.47921 3.09375 0.19768  -0.281056 0.827060 0.486805
-3.58706 3.02874 0.23445  -0.397474 0.827060 0.397474
-3.51943 3.09375 0.16683  -0.397475 0.827060 0.397474
-3.63311 3.02874 0.17443  -0.486805 0.827060 0.281056
-3.55029 3.09375 0.12661  -0.486805 0.827060 0.281055
-3.66207 3.02874 0.10453  -0.542959 0.827061 0.145484
-3.56968 3.09375 0.07978  -0.542960 0.827061 0.145485
-3.67194 3.02874 0.02952  -0.562113 0.827060 0.000000
-3.57630 3.09375 0.02952  -0.562114 0.827060 -0.000000
-3.56968 3.09375 -0.02074  -0.542960 0.827061 -0.145485
-3.66207 3.02874 -0.04549  -0.542959 0.827061 -0.145484
-3.63311 3.02874 -0.11539  -0.486805 0.827060 -0.281056
-3.55029 3.09375 -0.06757  -0.486805 0.827060 -0.281055
-3.58706 3.02874 -0.17542  -0.397474 0.827060 -0.397475
-3.51943 3.09375 -0.10779  -0.397475 0.827060 -0.397474
-3.52703 3.02874 -0.22148  -0.281057 0.827060 -0.486805
-3.47921 3.09375 -0.13865  -0.281056 0.827060 -0.486805
-3.45713 3.02874 -0.25043  -0.127526 0.826917 -0.547672
-3.43238 3.09375 -0.15805  -0.175946 0.826647 -0.534508
33.38877 10.05891 -49.74384  -0.210121 -0.970329 -0.119624
13.18332 3.88716 -21.46495  -0.119626 -0.970329 0.210123
3.45665 2.87499 0.13617  -0.119626 -0.970329 0.210122
33.35155 10.12157 -49.87508  -0.377413 -0.885559 -0.270822
3.32540 2.93765 0.17339  -0.270819 -0.885559 0.377414
13.05208 3.94982 -21.42774  -0.270819 -0.885560 0.377413
13.54628 3.95396 -21.43084  -0.007830 0.977255 0.211922
33.35466 10.12571 -49.38088  -0.211919 0.977256 -0.007831
3.81960 2.94180 0.17029  -0.007830 0.977255 0.211922
13.54628 3.88716 -21.46495  0.000000 -0.967207 0.253990
33.38877 10.05891 -49.38088  -0.253989 -0.967207 0.000000
3.81960 2.87499 0.13617  0.000000 -0.967207 0.253989
33.60904 10.05891 -49.38088  0.138982 -0.990295 0.000000
13.54628 3.88716 -21.68521  0.000000 -0.990295 -0.138983
3.81960 2.87499 -0.08409  0.000000 -0.990295 -0.138983
13.18332 3.88716 -21.68521  -0.091338 -0.924107 -0.371057
33.60904 10.05891 -49.74384  0.371052 -0.924110 -0.091335
3.45665 2.87499 -0.08409  -0.091338 -0.924106 -0.371060
